roi_i,roi_j,diff_corr_lc_minus_control,p_perm,q_fdr
TL-anterior-temporal-lobe-lateral-part-R,FL-subgenual-frontal-cortex-R,1.0611863569465245,0.001996007984031936,0.11140385894876911
TL-superior-temporal-gyrus-middle-part-R,PL-supramarginal-gyrus-L,-0.8947548846356226,0.001996007984031936,0.11140385894876911
TL-parahippocampal-and-ambient-gyrus-R,PL-supramarginal-gyrus-L,-0.9429685979544375,0.001996007984031936,0.11140385894876911
TL-parahippocampal-and-ambient-gyrus-R,PL-supramarginal-gyrus-R,-0.9938162944684192,0.001996007984031936,0.11140385894876911
FL-middle-frontal-gyrus-L,Lateral-ventricle-excluding-temporal-horn-L,-0.9971307092076218,0.001996007984031936,0.11140385894876911
CG-posterior-cingulate-gyrus-R,Lateral-ventricle-excluding-temporal-horn-L,-0.6844412737174994,0.001996007984031936,0.11140385894876911
caudate-nucleus-R,Lateral-ventricle-excluding-temporal-horn-R,-0.5999216476183914,0.001996007984031936,0.11140385894876911
caudate-nucleus-R,PL-postcentral-gyrus-R,-0.8923971414601064,0.001996007984031936,0.11140385894876911
TL-hippocampus-R,OL-lateral-remainder-occipital-lobe-R,-0.7820831917450082,0.001996007984031936,0.11140385894876911
TL-parahippocampal-and-ambient-gyrus-L,FL-medial-orbital-gyrus-L,-0.6554175967988706,0.001996007984031936,0.11140385894876911
FL-superior-frontal-gyrus-L,FL-subcallosal-area-R,-0.9412677636743338,0.001996007984031936,0.11140385894876911
TL-parahippocampal-and-ambient-gyrus-L,FL-middle-frontal-gyrus-L,-0.6947096987681896,0.001996007984031936,0.11140385894876911
TL-parahippocampal-and-ambient-gyrus-L,TL-posterior-temporal-lobe-L,-0.9023362474182335,0.001996007984031936,0.11140385894876911
TL-posterior-temporal-lobe-R,caudate-nucleus-R,-0.8370923284797991,0.001996007984031936,0.11140385894876911
TL-hippocampus-L,OL-lateral-remainder-occipital-lobe-L,-0.9642528448660341,0.001996007984031936,0.11140385894876911
FL-posterior-orbital-gyrus-R,FL-pre-subgenual-frontal-cortex-R,0.815572487781702,0.001996007984031936,0.11140385894876911
TL-middle-and-inferior-temporal-gyrus-L,PL-supramarginal-gyrus-R,-0.6914355581977215,0.001996007984031936,0.11140385894876911
Lateral-ventricle-excluding-temporal-horn-R,FL-subgenual-frontal-cortex-R,0.9891240591954513,0.001996007984031936,0.11140385894876911
brainstem-excluding-substantia-nigra-,OL-lateral-remainder-occipital-lobe-L,-1.029644903262258,0.001996007984031936,0.11140385894876911
TL-fusiform-gyrus-R,PL-superior-parietal-gyrus-R,-0.75993428052367,0.001996007984031936,0.11140385894876911
TL-fusiform-gyrus-R,FL-subgenual-frontal-cortex-R,0.879316582456718,0.001996007984031936,0.11140385894876911
TL-fusiform-gyrus-R,PL-supramarginal-gyrus-R,-0.8305869917694122,0.001996007984031936,0.11140385894876911
nucleus-accumbens-R,PL-postcentral-gyrus-R,-0.622730163878234,0.001996007984031936,0.11140385894876911
putamen-L,Lateral-ventricle-excluding-temporal-horn-L,-0.8521749070365469,0.001996007984031936,0.11140385894876911
CG-anterior-cingulate-gyrus-L,Lateral-ventricle-excluding-temporal-horn-L,0.8140471177310087,0.001996007984031936,0.11140385894876911
CG-anterior-cingulate-gyrus-L,FL-posterior-orbital-gyrus-R,0.8039996828991092,0.001996007984031936,0.11140385894876911
putamen-L,pallidum-L,0.7853665350810869,0.001996007984031936,0.11140385894876911
Lateral-ventricle-excluding-temporal-horn-L,FL-subgenual-frontal-cortex-R,0.7083515830733618,0.001996007984031936,0.11140385894876911
TL-hippocampus-L,TL-anterior-temporal-lobe-medial-part-R,0.87649807100453,0.001996007984031936,0.11140385894876911
TL-anterior-temporal-lobe-medial-part-R,insula-anterior-inferior-cortex-R,0.7812932797774614,0.001996007984031936,0.11140385894876911
